"Date end",Size,"Clan tag","Clan name","Clan stars","Clan destruction","Opponent tag","Opponent name","Opponent stars","Opponent destruction",Result
"2025-06-13 20:09:33",25,#P0J2J8GJ,"coc masters PL",66,96.48,#YCGL0PJU,"DIABLOS ROJOS",65,94.92,win
"2025-05-31 19:00:16",20,#P0J2J8GJ,"coc masters PL",60,100,#G2UJ8G9P,"Epic Legend",55,96.7,win
"2025-05-29 19:49:06",20,#P0J2J8GJ,"coc masters PL",59,99.75,#P0JUU8GJ,"Angelic Group!",54,98.9,win
"2025-05-27 19:12:37",20,#P0J2J8GJ,"coc masters PL",60,100,#2PJCP0UGC,"Kayı obası",56,99.15,win
"2025-05-25 20:08:28",20,#P0J2J8GJ,"coc masters PL",60,100,#98UY0JV8,"adamant boys",53,94.15,win
"2025-05-23 18:18:20",30,#P0J2J8GJ,"coc masters PL",82,95.17,#QJ0CQJUY,"THE BANGLA BOYS",90,100,lose
"2025-05-21 18:08:03",30,#P0J2J8GJ,"coc masters PL",90,100,#8J9RG9J9,"master clan",70,86.1,win
"2025-05-19 18:59:35",30,#P0J2J8GJ,"coc masters PL",90,100,#G9CVP8RY,مصراته,69,87.07,win
"2025-05-17 17:08:35",30,#P0J2J8GJ,"coc masters PL",88,99.73,#2UCPGLYQ,"Romania ClashOn",75,94.37,win
"2025-05-15 17:39:54",35,#P0J2J8GJ,"coc masters PL",94,95.94,#2P90G998,"JAGUAR ARMY",100,99.23,lose
"2025-05-13 08:49:50",25,#P0J2J8GJ,"coc masters PL",73,99.4,#9VR8Q2CY,PERSIAN,75,100,lose
"2025-04-30 19:45:03",30,#P0J2J8GJ,"coc masters PL",84,98.87,#8YG02CUR,"Anadolu Ateşi",85,97.5,lose
"2025-04-28 20:29:39",30,#P0J2J8GJ,"coc masters PL",90,100,#2GRUGJ9GL,"FIREWORK RUSH",90,100,tie
"2025-04-26 20:00:16",30,#P0J2J8GJ,"coc masters PL",90,100,#82V2C980,"LANCASHIRE CLAN",76,88.83,win
"2025-04-24 19:16:59",30,#P0J2J8GJ,"coc masters PL",90,100,#8URUQ0RY,"عيال المدينة",90,100,tie
"2025-04-22 18:30:49",5,#P0J2J8GJ,"coc masters PL",14,98.6,#2R2P8QQ0,TC-Thaur,13,95.8,win
"2025-04-20 19:09:13",35,#P0J2J8GJ,"coc masters PL",100,98.43,#PPRL2LJ8,"مصري وافتخر",103,99.26,lose
"2025-04-18 19:24:41",35,#P0J2J8GJ,"coc masters PL",104,99.97,#QUUJUV0,"Danish # Elite",100,97.26,win
"2025-04-16 20:12:05",35,#P0J2J8GJ,"coc masters PL",105,100,#2LCJGJLY2,"المقاتل الحـــر",81,79.49,win
"2025-04-14 21:11:01",5,#P0J2J8GJ,"coc masters PL",12,90.8,#2G90PQJC2,"Inmortales CWL",10,87.2,win
"2025-04-14 20:32:28",5,#P0J2J8GJ,"coc masters PL",12,87.2,#2JQCQ89JL,"TANRININ ÖFKESİ",9,67.8,win
"2025-04-14 19:55:24",5,#P0J2J8GJ,"coc masters PL",9,69.8,#2RVCUJL8J,"WarZone Ultime",10,87.4,lose
"2025-04-14 19:16:46",35,#P0J2J8GJ,"coc masters PL",105,100,#YGCRLJCP,"Leader of war",105,100,tie
"2025-04-12 18:56:46",35,#P0J2J8GJ,"coc masters PL",105,100,#2GQ8RQQUY,Michiclan,105,100,tie
"2025-03-30 22:24:56",40,#P0J2J8GJ,"coc masters PL",118,99.65,#2Q90Q0RCC,"A- is Failure",97,89.33,win
"2025-03-28 21:19:28",40,#P0J2J8GJ,"coc masters PL",120,100,#2LJ9Y99Q0,"REQ N LEAVE",119,99.95,win
"2025-03-26 21:03:11",35,#P0J2J8GJ,"coc masters PL",92,92.51,#C0RCUGQL,#marretas#PT,87,92.86,win
"2025-03-24 21:40:00",35,#P0J2J8GJ,"coc masters PL",105,100,#PQP9Y9VG,"Jombang Legends",87,87.29,win
"2025-03-22 20:05:34",35,#P0J2J8GJ,"coc masters PL",104,99.89,#UPJ0YPUG,"Нова Імперія",91,93.63,win
"2025-03-20 19:56:24",40,#P0J2J8GJ,"coc masters PL",112,98.08,#PCJVQ9QL,"The dragons",119,99.73,lose
"2025-03-18 20:35:31",40,#P0J2J8GJ,"coc masters PL",114,98.78,#VGC8RGQ0,"STRANGER INSIDE",116,98.95,lose
"2025-03-16 20:40:22",15,#P0J2J8GJ,"coc masters PL",30,66.666664,#RQGQ90Y,"48 Poland",19,44.666668,win
"2025-03-16 17:52:12",40,#P0J2J8GJ,"coc masters PL",111,97,#2QVYGUQRJ,⚡احبك✨والله⚡,120,100,lose
"2025-03-14 12:30:20",40,#P0J2J8GJ,"coc masters PL",120,100,#GUV9U8JG,cebu,88,81.9,win
"2025-03-12 12:14:18",40,#P0J2J8GJ,"coc masters PL",120,100,#V898LLR9,"PUNJABI JATT's",80,82.95,win
"2025-03-01 20:46:28",35,#P0J2J8GJ,"coc masters PL",105,100,#2Q9C0PGPG,"War League⭐⭐⭐",69,73.91,win
"2025-02-27 20:02:48",30,#P0J2J8GJ,"coc masters PL",90,100,#8QUV9UUV,ARTİST54,90,100,tie
"2025-02-25 17:55:12",40,#P0J2J8GJ,"coc masters PL",114,98.35,#2GJVYL889,"THE WARRIORS",117,98.93,lose
"2025-02-23 18:48:41",40,#P0J2J8GJ,"coc masters PL",119,99.95,#8YRQ0YVC,lahorians,116,99.68,win
"2025-02-21 19:23:05",40,#P0J2J8GJ,"coc masters PL",120,100,#9JVLCC89,"كلان مسقط",115,98.75,win
"2025-02-19 20:20:39",30,#P0J2J8GJ,"coc masters PL",90,100,#Q99RQVG,Szekelyakademia,73,89.4,win
"2025-02-17 21:16:13",30,#P0J2J8GJ,"coc masters PL",90,100,#8CC0JRV2,"Türk Gücü",73,87.57,win
"2025-02-15 21:55:54",30,#P0J2J8GJ,"coc masters PL",90,100,#90280RVU,김씨집안,58,72.93,win
"2025-02-13 21:45:03",30,#P0J2J8GJ,"coc masters PL",86,98.37,#9Q0L0JVQ,Dragonbourne,88,99.83,lose
"2025-02-11 19:49:40",25,#P0J2J8GJ,"coc masters PL",72,99.64,#8L298CVR,LEBANESE,72,99.8,lose
"2025-01-31 18:55:06",30,#P0J2J8GJ,"coc masters PL",89,99.7,#8VVYPU,"Sitting Ducks",83,97.9,win
"2025-01-29 18:59:22",25,#P0J2J8GJ,"coc masters PL",74,99.88,#29GLGR0JY,The_Squad,72,99.04,win
"2025-01-27 19:17:21",30,#P0J2J8GJ,"coc masters PL",89,99.7,#GCRVGPVV,SYRIA,90,100,lose
"2025-01-25 18:19:56",30,#P0J2J8GJ,"coc masters PL",83,96.23,#8Y882YJQ,"WU.World United",83,98.43,lose
"2025-01-23 19:07:18",30,#P0J2J8GJ,"coc masters PL",87,99.2,#U89P2G2J,"فراری ها ...",79,96.3,win
"2025-01-21 18:47:37",30,#P0J2J8GJ,"coc masters PL",90,100,#2LQG2UL9P,iraq,83,96,win
"2025-01-19 17:34:20",30,#P0J2J8GJ,"coc masters PL",88,99.67,#29CYL2RG2,"yeter artık..#️",77,91.03,win
"2025-01-17 18:30:22",30,#P0J2J8GJ,"coc masters PL",88,99.1,#PRC9CCVQ,"THE TITANS",84,98.1,win
"2025-01-15 19:17:16",25,#P0J2J8GJ,"coc masters PL",69,97.88,#PQUGL29G,"Marathi Katta",72,97.08,lose
"2025-01-13 18:47:18",30,#P0J2J8GJ,"coc masters PL",80,95.1,#PQCVY90L,"UNITED STATES",87,98.93,lose
"2025-01-11 19:19:51",20,#P0J2J8GJ,"coc masters PL",60,100,#GCJC22R,"Lords of War",45,85.25,win
"2024-12-31 19:48:46",30,#P0J2J8GJ,"coc masters PL",85,96.93,#9J80C0QP,"WAR FARES",75,91.17,win
"2024-12-29 20:45:01",35,#P0J2J8GJ,"coc masters PL",94,94.37,#8LLYRVU9,"Sed De Guerra",92,92.46,win
"2024-12-27 20:21:44",30,#P0J2J8GJ,"coc masters PL",81,96.53,#2LY0GVYQ2,ΑΝΑΛΏΣΙΜΟΙ,88,99.67,lose
"2024-12-25 20:41:08",30,#P0J2J8GJ,"coc masters PL",74,88.6,#2PGJY0V9R,"Les Pilleurs",87,98.9,lose
"2024-12-23 21:21:21",30,#P0J2J8GJ,"coc masters PL",82,95.33,#8PRPJ8P9,57.ALAY,81,94.03,win
"2024-12-21 20:57:12",25,#P0J2J8GJ,"coc masters PL",71,94.96,#28GY9GLP2,"❤شباب العز❤",63,91.84,win
"2024-12-18 22:30:00",30,#P0J2J8GJ,"coc masters PL",82,95.4,#229VUU08,"Low Familia™",81,95.87,win
"2024-12-16 20:39:46",25,#P0J2J8GJ,"coc masters PL",65,94.28,#LP289R0G,"سوريا 123",65,91.96,win
"2024-12-14 20:14:36",30,#P0J2J8GJ,"coc masters PL",71,90.47,#82V8V2G9,DİRİLİŞ,74,86.8,lose
"2024-11-29 05:22:36",30,#P0J2J8GJ,"coc masters PL",78,94.93,#280PJJQJ8,"Made in Arg 2",82,97.27,lose
"2024-11-26 22:56:46",30,#P0J2J8GJ,"coc masters PL",75,93.93,#2YV9ULV8,"Legion Assamita",86,99.3,lose
"2024-11-24 20:13:12",25,#P0J2J8GJ,"coc masters PL",60,93.24,#2P9PCQYPU,GermanyElite,58,88.92,win
"2024-11-21 21:23:30",25,#P0J2J8GJ,"coc masters PL",60,91.4,#22PCUQR9V,"اهلاوي وافتخر",66,93.96,lose
"2024-11-19 22:07:19",25,#P0J2J8GJ,"coc masters PL",73,99.64,#R8CY9Y8C,"Twice No.1",54,80.2,win
"2024-11-17 20:55:55",25,#P0J2J8GJ,"coc masters PL",73,98.4,#QJRC88UJ,GESTEPO,57,81.4,win
"2024-11-15 21:20:31",25,#P0J2J8GJ,"coc masters PL",70,96.32,#2GLP2C08P,"ViRtUs INV PkTr",70,99.08,lose
"2024-11-13 21:06:10",25,#P0J2J8GJ,"coc masters PL",59,87.04,#LJVPVJ2L,"BD Dreams",68,96.64,lose
"2024-10-29 21:37:34",30,#P0J2J8GJ,"coc masters PL",82,96.37,#VYL2QJLV,"clashers united",79,94.13,win
"2024-10-27 21:23:21",25,#P0J2J8GJ,"coc masters PL",72,98.8,#QQ2CYGU,Polska,72,98.96,lose
"2024-10-24 20:57:00",30,#P0J2J8GJ,"coc masters PL",89,99.93,#2LCLVCGLR,آذربایجان2,89,99.9,win
"2024-10-22 19:38:00",30,#P0J2J8GJ,"coc masters PL",87,99.3,#9G0G8PVR,"BZH clan",90,100,lose
"2024-10-20 20:07:28",25,#P0J2J8GJ,"coc masters PL",69,97.32,#22VCR9LJJ,عشق,65,93.76,win
"2024-10-18 20:34:22",25,#P0J2J8GJ,"coc masters PL",69,94.32,#2QLPJ8PGJ,"Goldener Löwe",74,99.72,lose
"2024-10-16 19:17:37",25,#P0J2J8GJ,"coc masters PL",69,94.44,#9RPQG9LQ,POLSKA,69,94.6,lose
"2024-10-14 18:38:24",25,#P0J2J8GJ,"coc masters PL",66,91.76,#2QYCPQQ9U,25ans.et.plus,74,99.84,lose
"2024-10-12 18:42:12",30,#P0J2J8GJ,"coc masters PL",81,95.93,#2RG9YQY2,"Afrikaans 18+",79,91.97,win
"2024-09-29 20:08:07",25,#P0J2J8GJ,"coc masters PL",62,91.24,#P89UQJR8,Bulldogs,70,97.72,lose
"2024-09-27 19:53:10",25,#P0J2J8GJ,"coc masters PL",66,92.48,#R9YU8YQV,"Syrian Anger",72,99.16,lose
"2024-09-25 19:07:19",25,#P0J2J8GJ,"coc masters PL",64,94.88,#UGG8G9U,"7 سون",54,82.28,win
"2024-09-23 19:52:52",25,#P0J2J8GJ,"coc masters PL",66,93.16,#292C28G2V,!!!Ukraine!!!,69,95.92,lose
"2024-09-21 19:17:54",25,#P0J2J8GJ,"coc masters PL",73,99.56,#2LRVRG8CV,"LES SANS CLANS",59,85.6,win
"2024-09-19 20:10:21",30,#P0J2J8GJ,"coc masters PL",82,96.4,#29GGPCGPV,"Gorilla Crew",84,95.77,lose
"2024-09-17 18:41:45",25,#P0J2J8GJ,"coc masters PL",66,92.24,#PYP9GYJG,"German Fighters",71,97.36,lose
"2024-09-15 17:57:48",25,#P0J2J8GJ,"coc masters PL",68,95.76,#9P22JC80,"Eagles Talons",67,91,win
"2024-09-12 19:24:18",25,#P0J2J8GJ,"coc masters PL",65,92.44,#2Q8R9G92L,"Act of Valor Ac",68,92.2,lose
"2024-08-28 19:53:39",30,#P0J2J8GJ,"coc masters PL",90,100,#UVCCRQJ,"Quicksilver USA",62,76.17,win
"2024-08-18 19:42:55",25,#P0J2J8GJ,"coc masters PL",68,94,#9CUJY8JR,"Codename 47",74,99.84,lose
"2024-08-16 19:14:26",30,#P0J2J8GJ,"coc masters PL",88,99.73,#R0VRR8VC,"دیبا گران",87,98.67,win
"2024-08-14 18:22:56",25,#P0J2J8GJ,"coc masters PL",75,100,#PLV0CRJC,"Italian king$",75,100,tie
