"Date end",Size,"Clan tag","Clan name","Clan stars","Clan destruction","Opponent tag","Opponent name","Opponent stars","Opponent destruction",Result
"2024-11-12 19:31:07",30,#JPRPRVUY,"Akademia CoC PL",88,99.23,#2QG2RLLL2,"roosters fury",73,87.57,win
"2024-11-01 18:52:52",20,#JPRPRVUY,"Akademia CoC PL",57,97.65,#U8LJPLR2,WAR....WiN,52,92.5,win
"2024-10-30 19:28:14",20,#JPRPRVUY,"Akademia CoC PL",53,91.4,#2RQJUYQJ0,ESTP,59,99.5,lose
"2024-10-27 20:07:46",25,#JPRPRVUY,"Akademia CoC PL",70,93.72,#2GGQLR8CY,"بچه تهران",68,93.84,win
"2024-10-25 19:10:09",25,#JPRPRVUY,"Akademia CoC PL",71,96.36,#Q8J92GGU,"BD CHAMPION",74,99.56,lose
"2024-10-23 11:23:54",20,#JPRPRVUY,"Akademia CoC PL",52,93,#2QPQ82QYY,Finis,59,99.15,lose
"2024-10-21 11:25:00",20,#JPRPRVUY,"Akademia CoC PL",59,98.9,#PRL8VP0L,ยุทธการ,59,98.05,win
"2024-10-16 21:18:14",15,#JPRPRVUY,"Akademia CoC PL",43,97.4,#2RQCRUP2C,"قمة الجمال",42,96.33,win
"2024-10-14 21:57:51",20,#JPRPRVUY,"Akademia CoC PL",56,96.05,#2L99P8U0G,"Cebu city",56,96.95,lose
"2024-10-12 19:00:10",20,#JPRPRVUY,"Akademia CoC PL",55,96.1,#2GPPP8R8Y,❤Türkiyem❤,54,91.6,win
"2024-09-28 18:45:08",10,#JPRPRVUY,"Akademia CoC PL",25,91.9,#29QPJCCGP,"كلان الفرسان",25,92.4,lose
"2024-09-26 19:35:06",15,#JPRPRVUY,"Akademia CoC PL",42,97.13,#J2C200PR,"Ngaoundere Clan",45,100,lose
"2024-09-24 18:13:29",10,#JPRPRVUY,"Akademia CoC PL",28,93.5,#2LCU8U02U,"Il Comune",27,95.2,win
"2024-09-22 19:00:16",10,#JPRPRVUY,"Akademia CoC PL",27,96.8,#2RQL80GYG,"Ever one",26,93.6,win
"2024-09-20 19:30:07",10,#JPRPRVUY,"Akademia CoC PL",30,100,#2QPVRG8RQ,"Death Grasp",22,84.9,win
"2024-09-18 19:55:04",15,#JPRPRVUY,"Akademia CoC PL",42,94.07,#2QGV08J9R,U.N.,26,66.27,win
"2024-09-16 19:14:54",15,#JPRPRVUY,"Akademia CoC PL",37,89.47,#2LVVGCLU9,"IMUNA KUM",39,91.4,lose
"2024-09-12 19:21:08",20,#JPRPRVUY,"Akademia CoC PL",54,95.25,#QLV9LGP8,"مستحضر الارواح",56,95.55,lose
"2024-08-30 20:06:18",20,#JPRPRVUY,"Akademia CoC PL",52,93.45,#Q2GRYGY8,"BD KING OF BOYS",59,99.65,lose
"2024-08-24 19:35:16",20,#JPRPRVUY,"Akademia CoC PL",55,95.6,#2LPQ8CV28,"NEX GAMER 2",59,99.4,lose
"2024-08-22 18:50:18",20,#JPRPRVUY,"Akademia CoC PL",55,95.25,#2Y2YYJL0P,"Los KING",23,43.05,win
